deck_uid,leader_code,card_code,quantity,format_code,source_reference,placement,notes
9a4b39cbc12c,OP01-001,OP01-004,4,,,,
9a4b39cbc12c,OP01-001,OP01-006,4,,,,
9a4b39cbc12c,OP01-001,OP01-010,4,,,,
9a4b39cbc12c,OP01-001,OP01-028,4,,,,
9a4b39cbc12c,OP01-001,OP01-029,4,,,,
9a4b39cbc12c,OP01-001,OP01-030,4,,,,
9a4b39cbc12c,OP01-001,OP01-002,3,,,,
9a4b39cbc12c,OP01-001,OP01-007,3,,,,
9a4b39cbc12c,OP01-001,OP01-013,3,,,,
9a4b39cbc12c,OP01-001,OP01-019,3,,,,
9a4b39cbc12c,OP01-001,OP01-026,3,,,,
9a4b39cbc12c,OP01-001,OP01-005,2,,,,
9a4b39cbc12c,OP01-001,OP01-008,2,,,,
9a4b39cbc12c,OP01-001,OP01-016,2,,,,
