deck_uid,leader_code,card_code,quantity,format_code,source_reference,placement,notes
0f5a5300cc6a,OP10-001,OP10-004,4,,,,
0f5a5300cc6a,OP10-001,OP10-008,4,,,,
0f5a5300cc6a,OP10-001,OP10-012,4,,,,
0f5a5300cc6a,OP10-001,OP10-016,4,,,,
0f5a5300cc6a,OP10-001,OP10-017,4,,,,
0f5a5300cc6a,OP10-001,OP10-018,4,,,,
0f5a5300cc6a,OP10-001,OP10-020,4,,,,
0f5a5300cc6a,OP10-001,OP10-026,4,,,,
0f5a5300cc6a,OP10-001,OP10-027,4,,,,
0f5a5300cc6a,OP10-001,OP10-028,4,,,,
0f5a5300cc6a,OP10-001,OP10-033,4,,,,
0f5a5300cc6a,OP10-001,OP10-019,3,,,,
0f5a5300cc6a,OP10-001,OP10-021,3,,,,
