deck_uid,leader_code,card_code,quantity,format_code,source_reference,placement,notes
aa180bffe4da,OP01-001,OP01-002,4,,,,
aa180bffe4da,OP01-001,OP01-013,4,,,,
aa180bffe4da,OP01-001,OP01-024,4,,,,
aa180bffe4da,OP01-001,OP01-025,4,,,,
aa180bffe4da,OP01-001,OP01-004,3,,,,
aa180bffe4da,OP01-001,OP01-005,3,,,,
aa180bffe4da,OP01-001,OP01-014,3,,,,
aa180bffe4da,OP01-001,OP01-017,3,,,,
aa180bffe4da,OP01-001,OP01-021,3,,,,
aa180bffe4da,OP01-001,OP01-026,4,,,,
aa180bffe4da,OP01-001,OP01-029,4,,,,
aa180bffe4da,OP01-001,OP01-027,3,,,,
aa180bffe4da,OP01-001,OP01-023,3,,,,
aa180bffe4da,OP01-001,OP01-008,3,,,,
aa180bffe4da,OP01-001,OP01-015,3,,,,
