id	print_id	variant_key	image_path	image_url
704	OP01-001	base	thumbs/OP01-001.webp	https://en.onepiece-cardgame.com/images/cardlist/card/OP01-001.png?260305
710	OP01-002	base	thumbs/OP01-002.webp	https://en.onepiece-cardgame.com/images/cardlist/card/OP01-002.png?260305
714	OP01-003	base	thumbs/OP01-003.webp	https://en.onepiece-cardgame.com/images/cardlist/card/OP01-003.png?260305
718	OP01-004	base	thumbs/OP01-004.webp	https://en.onepiece-cardgame.com/images/cardlist/card/OP01-004.png?260305
723	OP01-005	base	thumbs/OP01-005.webp	https://en.onepiece-cardgame.com/images/cardlist/card/OP01-005.png?260305
731	OP01-006	base	thumbs/OP01-006.webp	https://en.onepiece-cardgame.com/images/cardlist/card/OP01-006.png?260305
742	OP01-007	base	thumbs/OP01-007.webp	https://en.onepiece-cardgame.com/images/cardlist/card/OP01-007.png?260305
744	OP01-008	base	thumbs/OP01-008.webp	https://en.onepiece-cardgame.com/images/cardlist/card/OP01-008.png?260305
748	OP01-009	base	thumbs/OP01-009.webp	https://en.onepiece-cardgame.com/images/cardlist/card/OP01-009.png?260305
750	OP01-010	base	thumbs/OP01-010.webp	https://en.onepiece-cardgame.com/images/cardlist/card/OP01-010.png?260305
