id	print_id	image_path	image_url	updated_at
704	OP01-001	thumbs/OP01-001.webp	https://en.onepiece-cardgame.com/images/cardlist/card/OP01-001.png?260305	2026-04-01 22:05:40
710	OP01-002	thumbs/OP01-002.webp	https://en.onepiece-cardgame.com/images/cardlist/card/OP01-002.png?260305	2026-04-01 22:05:40
714	OP01-003	thumbs/OP01-003.webp	https://en.onepiece-cardgame.com/images/cardlist/card/OP01-003.png?260305	2026-04-01 22:05:40
718	OP01-004	thumbs/OP01-004.webp	https://en.onepiece-cardgame.com/images/cardlist/card/OP01-004.png?260305	2026-04-01 22:05:40
723	OP01-005	thumbs/OP01-005.webp	https://en.onepiece-cardgame.com/images/cardlist/card/OP01-005.png?260305	2026-04-01 22:05:40
731	OP01-006	thumbs/OP01-006.webp	https://en.onepiece-cardgame.com/images/cardlist/card/OP01-006.png?260305	2026-04-01 22:05:40
742	OP01-007	thumbs/OP01-007.webp	https://en.onepiece-cardgame.com/images/cardlist/card/OP01-007.png?260305	2026-04-01 22:05:40
744	OP01-008	thumbs/OP01-008.webp	https://en.onepiece-cardgame.com/images/cardlist/card/OP01-008.png?260305	2026-04-01 22:05:40
748	OP01-009	thumbs/OP01-009.webp	https://en.onepiece-cardgame.com/images/cardlist/card/OP01-009.png?260305	2026-04-01 22:05:40
750	OP01-010	thumbs/OP01-010.webp	https://en.onepiece-cardgame.com/images/cardlist/card/OP01-010.png?260305	2026-04-01 22:05:40
